"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"196114","occ","","","20157","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","3211"
"196146","occ","","","20163","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","6202"
"196147","occ","","","20163","Sorex cudahyensis","species","51638","Irvingtonian","","1.8","0.3","6202"
"196148","occ","","","20163","Sorex lacustris","species","49087","Irvingtonian","","1.8","0.3","6202"
"196149","occ","","","20163","Sorex megapalustris","species","51650","Irvingtonian","","1.8","0.3","6202"
"196172","occ","","","20164","Notiosorex crawfordi","species","51636","Irvingtonian","","1.8","0.3","1319"
"196195","occ","9213","","20165","Sorex scottensis","species","51665","Irvingtonian","","1.8","0.3","2013"
"196370","occ","","","20191","Sorex","genus","40486","Irvingtonian","","1.8","0.3","2725"
"196484","occ","","","20214","Sorex","genus","40486","Irvingtonian","","1.8","0.3","2725"
"196561","occ","","","20241","Soricidae","family","40443","Irvingtonian","","1.8","0.3","2725"
"196677","occ","","","20277","Sorex","genus","40486","Irvingtonian","","1.8","0.3","1764"
"196701","occ","","","20280","Soricidae","family","40443","Irvingtonian","","1.8","0.3","1817"
"196713","occ","","","20282","Blarina","genus","40457","Irvingtonian","","1.8","0.3","2254"
"196793","occ","","","20289","Cryptotis parva","species","51658","Irvingtonian","","1.8","0.3","2436"
"196794","occ","9324","","20289","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","2046"
"196835","occ","9340","","20290","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","6294"
"196836","occ","9341","","20290","Sorex monticolus","species","51654","Irvingtonian","","1.8","0.3","6294"
"196837","occ","","","20290","Sorex fumeus","species","51643","Irvingtonian","","1.8","0.3","1628"
"196838","occ","9342","","20290","Sorex minutus","species","48543","Irvingtonian","","1.8","0.3","6294"
"196839","occ","","","20290","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","1628"
"196886","occ","","","20292","Sorex","genus","40486","Irvingtonian","","1.8","0.3","2586"
"196887","occ","","","20292","Blarina","genus","40457","Irvingtonian","","1.8","0.3","2586"
"196892","occ","","","20293","Sorex","genus","40486","Irvingtonian","","1.8","0.3","1462"
"196893","occ","","","20293","Blarina","genus","40457","Irvingtonian","","1.8","0.3","1462"
"196916","occ","","","20295","Notiosorex crawfordi","species","51636","Irvingtonian","","1.8","0.3","1907"
"196996","occ","","","20301","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","2741"
"196997","occ","","","20301","Sorex cudahyensis","species","51638","Irvingtonian","","1.8","0.3","2741"
"196998","occ","","","20301","Sorex lacustris","species","49087","Irvingtonian","","1.8","0.3","2741"
"196999","occ","","","20301","Sorex megapalustris","species","51650","Irvingtonian","","1.8","0.3","2741"
"197000","occ","9383","","20301","Sorex pratensis","species","48544","Irvingtonian","","1.8","0.3","6294"
"197001","occ","9384","","20301","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","2046"
"197025","occ","","","20302","Sorex fumeus","species","51643","Irvingtonian","","1.8","0.3","1725"
"197026","occ","","","20302","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","1725"
"197027","occ","","","20302","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","1725"
"197028","occ","","","20302","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","2046"
"197104","occ","","","20306","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","6202"
"197105","occ","","","20306","Sorex cudahyensis","species","51638","Irvingtonian","","1.8","0.3","6202"
"197106","occ","","","20306","Sorex lacustris","species","49087","Irvingtonian","","1.8","0.3","6202"
"197107","occ","","","20306","Sorex megapalustris","species","51650","Irvingtonian","","1.8","0.3","6202"
"197108","occ","","","20306","Sorex pratensis","species","48544","Irvingtonian","","1.8","0.3","6202"
"197109","occ","","","20306","Sorex","genus","40486","Irvingtonian","","1.8","0.3","6202"
"197110","occ","","","20306","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","6202"
"197139","occ","","","20308","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","2624"
"197163","occ","","","20309","Sorex arcticus","species","51630","Irvingtonian","","1.8","0.3","3216"
"197164","occ","","","20309","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","3216"
"197165","occ","","","20309","Sorex palustris","species","51657","Irvingtonian","","1.8","0.3","3216"
"197166","occ","","","20309","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","3216"
"197196","occ","","","20312","Sorex scottensis","species","51665","Irvingtonian","","1.8","0.3","2545"
"197197","occ","","","20312","Sorex kansasensis","species","51646","Irvingtonian","","1.8","0.3","2545"
"197209","occ","","","20313","Sorex arcticus","species","51630","Irvingtonian","","1.8","0.3","2545"
"197210","occ","","","20313","Sorex kansasensis","species","51646","Irvingtonian","","1.8","0.3","2545"
"197211","occ","","","20313","Sorex palustris","species","51657","Irvingtonian","","1.8","0.3","2545"
"197217","occ","","","20314","Sorex arcticus","species","51630","Irvingtonian","","1.8","0.3","2545"
"197221","occ","","","20315","Sorex palustris","species","51657","Irvingtonian","","1.8","0.3","2545"
"197225","occ","","","20316","Sorex scottensis","species","51665","Irvingtonian","","1.8","0.3","2545"
"197235","occ","","","20318","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","1302"
"197236","occ","","","20318","Cryptotis parva","species","51658","Irvingtonian","","1.8","0.3","1302"
"197539","occ","","","20350","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","2624"
"197540","occ","","","20350","Cryptotis parva","species","51658","Irvingtonian","","1.8","0.3","2624"
"197588","occ","9512","","20352","Sorex pratensis","species","48544","Irvingtonian","","1.8","0.3","6294"
"197589","occ","","","20352","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","1462"
"197604","occ","9516","","20354","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","2046"
"197605","occ","","","20354","Sorex","genus","40486","Irvingtonian","","1.8","0.3","1727"
"197651","occ","9526","","20359","Sorex","genus","40486","Middle Pleistocene","","0.781","0.126","6294"
"197658","occ","9528","","20360","Sorex hoyi","species","51645","Middle Pleistocene","","0.781","0.126","6294"
"197686","occ","","","20369","Sorex arcticus","species","51630","Middle Pleistocene","","0.781","0.126","2939"
"197765","occ","","","20384","Cryptotis parva","species","51658","Blancan","","4.9","1.8","3580"
"197766","occ","","","20384","Blarina carolinensis","species","51633","Blancan","","4.9","1.8","3580"
"197817","occ","","","20385","Cryptotis parva","species","51658","Irvingtonian","","1.8","0.3","3872"
"197818","occ","","","20385","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","3872"
"197872","occ","","","20389","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","2441"
"197873","occ","","","20389","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","2441"
"197900","occ","9588","","20390","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","2046"
"197901","occ","","","20390","Cryptotis parva","species","51658","Irvingtonian","","1.8","0.3","1912"
"197933","occ","","","20391","Sorex","genus","40486","Irvingtonian","","1.8","0.3","3099"
"197934","occ","","","20391","Blarina","genus","40457","Irvingtonian","","1.8","0.3","3099"
"197976","occ","","","20398","Soricidae","family","40443","Rancholabrean","","0.3","0.012","2611"
"198029","occ","","","20402","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","2624"
"198055","occ","","","20406","Soricidae","family","40443","Irvingtonian","","1.8","0.3","1630"
"198070","occ","","","20407","Sorex dispar","species","51639","Irvingtonian","","1.8","0.3","1462"
"198072","occ","","","20408","Blarina","genus","40457","Irvingtonian","","1.8","0.3","1462"
"198097","occ","","","20413","Sorex cinereus","species","51634","Irvingtonian","","1.8","0.3","6202"
"198156","occ","9648","","20422","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","6294"
"198157","occ","","","20422","Cryptotis parva","species","51658","Irvingtonian","","1.8","0.3","1887"
"198169","occ","9651","","20423","Sorex scottensis","species","51665","Irvingtonian","","1.8","0.3","6294"
"198170","occ","","","20423","Sorex arcticus","species","51630","Irvingtonian","","1.8","0.3","1887"
"198171","occ","","","20423","Sorex palustris","species","51657","Irvingtonian","","1.8","0.3","1887"
"198172","occ","9652","","20423","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","6294"
"198173","occ","","","20423","Cryptotis parva","species","51658","Irvingtonian","","1.8","0.3","1887"
"198194","occ","9656","","20424","Sorex scottensis","species","51665","Irvingtonian","","1.8","0.3","6294"
"198195","occ","9657","","20424","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","6294"
"198221","occ","","","20430","Sorex","genus","40486","Blancan","Irvingtonian","4.9","0.3","2496"
"198279","occ","","","20440","Blarina carolinensis","species","51633","Rancholabrean","","0.3","0.012","2050"
"198313","occ","","","20445","Notiosorex crawfordi","species","51636","Irvingtonian","","1.8","0.3","1298"
"198321","occ","","","20446","Notiosorex crawfordi","species","51636","Irvingtonian","","1.8","0.3","1298"
"198336","occ","","","20451","Sorex","genus","40486","Irvingtonian","","1.8","0.3","6202"
"198337","occ","","","20451","Cryptotis parva","species","51658","Irvingtonian","","1.8","0.3","6202"
"198351","occ","","","20454","Sorex","genus","40486","Irvingtonian","","1.8","0.3","2725"
"198396","occ","","","20464","Sorex","genus","40486","Irvingtonian","","1.8","0.3","2725"
"198432","occ","","","20475","Blarina carolinensis","species","51633","Irvingtonian","","1.8","0.3","2624"
"198451","occ","","","20477","Soricidae","family","40443","Irvingtonian","","1.8","0.3","1022"
"198511","occ","","","20479","Blarina brevicauda","species","51632","Irvingtonian","","1.8","0.3","1628"
"198578","occ","","","20491","Cryptotis parva","species","51658","Rancholabrean","","0.3","0.012","3580"
"198579","occ","","","20491","Blarina carolinensis","species","51633","Rancholabrean","","0.3","0.012","3580"
"198630","occ","","","20492","Sorex cinereus","species","51634","Irvingtonian","Rancholabrean","1.8","0.012","1854"
"198631","occ","9733","","20492","Blarina brevicauda","species","51632","Irvingtonian","Rancholabrean","1.8","0.012","6294"
"198689","occ","","","20500","Sorex","genus","40486","Irvingtonian","","1.8","0.3","1916"
"198771","occ","","","20506","Sorex","genus","40486","Irvingtonian","","1.8","0.3","2940"
"198810","occ","","","20513","Soricidae","family","40443","Irvingtonian","","1.8","0.3","2940"
