"Sorex,"Sorex n. sp. casimiri",2.894,2.894
"Nesiotites,"Nesiotites sp.",2.1905,3.0940000000000003
"Crocidura,"Crocidura dsinezumi",0.06885,0.06885
"Miosorex,"Miosorex pusilliformes",18.45,18.45
"Asoriculus,"Asoriculus sp.",0.4535,1.6845
"Wilsonosorex,"Wilsonosorex sp.",18.2,18.2
"Antesorex,"Antesorex sp.",18.2,18.2
"Blarinoides,"Blarinoides mariae",1.6845,4.550000000000001
"Crocidura,"Crocidura kornfeldi",0.4535,2.894
"Episoriculus,"Episoriculus corsicanus",0.4535,0.4535
"n.,"n. gen. Miocrocidosorex n. sp. zazhigini",19.5,19.5
"Crusafontina,"Crusafontina aff. endemica",9.2,10.399999999999999
"Notiosorex,"Notiosorex sp.",0.06885,7.6000000000000005
"Blarina,"Blarina ? sp.",3.35,3.35
"Lartetium,"Lartetium petersbuchense",16.435,16.435
"Crocidura,"Crocidura muricauda",0.00585,0.00585
"Crocidura,"Crocidura fuscomurina",1.294,1.6845
"Sorex,"Sorex aff. minutus",1.29985,2.894
"Soricinae,"Soricinae indet.",0.4535,18.205000000000002
"Episoriculus,"Episoriculus gibberodon",1.6845,11.520850000000001
"Cokia,"Cokia kowalskae",4.4665,4.4665
"Sorex,"Sorex informal sp. 2",0.4535,4.550000000000001
"Angustidens,"Angustidens n. sp. excultus",10.399999999999999,10.399999999999999
"Cryptotis,"Cryptotis ? n. sp. meadensis",3.35,3.35
"Blarina,"Blarina cf. brevicauda",0.063,3.35
"Sorex,"Sorex informal sp. 1",0.4535,4.550000000000001
"Wilsonosorex,"Wilsonosorex conulatus",18.2,18.2
"Crocidura,"Crocidura cf. russula",0.4535,1.29985
"Sorex,"Sorex bor",1.29985,4.550000000000001
"Sorex,"Sorex n. sp. leahyi",3.35,3.35
"Sorex,"Sorex vagrans",0.06885,0.06885
"Sorex,"Sorex cf. rexroadensis",3.35,3.35
"Sorex,"Sorex cf. palustris",1.294,1.294
"Tregosorex,"Tregosorex n. sp. holmani",11.95,11.95
"Scutisorex,"Scutisorex somereni",0.00585,1.294
"Suncus,"Suncus sp.",4.917,4.917
"Crocidura,"Crocidura samaritana",0.06885,1.29985
"Soricidae,"Soricidae informal sp. A",7.0165,7.0165
"Sorex,"Sorex (Drepanosorex) postsavini",0.4535,0.4535
"Suncus,"Suncus varilla",1.294,1.6845
"Sorex,"Sorex powersi",3.35,3.35
"Myosorex,"Myosorex varius",0.00585,0.00585
"Limnoecus,"Limnoecus n. sp. niobrarensis",14.785,14.785
"Neomyini,"Neomyini ? indet.",8.225,8.225
"Sorex,"Sorex cf. araneus",0.4535,0.4535
"Notiosorex,"Notiosorex jacksoni",1.05,3.35
"Hesperosorex,"Hesperosorex ? sp.",11.95,11.95
"Oligosorex,"Oligosorex cf. thauensis",25.715,25.715
"Adeloblarina,"Adeloblarina cf. berklandi",14.785,14.785
"Sorex,"Sorex (Microsorex) pratensis",1.05,1.05
"Sorex,"Sorex monticolus",0.06885,1.05
"Crocidura,"Crocidura zorzii",0.4535,1.6845
"Sorex,"Sorex scottensis",1.05,1.05
"Angustidens,"Angustidens cf. vireti",14.785,14.785
"Myosorex,"Myosorex robinsoni",1.6845,3.0940000000000003
"Petenyia,"Petenyia suavensis",0.4535,0.4535
"Sorex,"Sorex n. sp. hibbardi",3.7,3.7
"Crocidura,"Crocidura russula",0.06885,0.4535
"Alluvisorex,"Alluvisorex cf. arcadentes",7.6000000000000005,7.6000000000000005
"Pseudotrimylus,"Pseudotrimylus n. sp. blacki",18.2,18.2
"Crocidura,"Crocidura cf. nana",3.057,3.057
"Petenyia,"Petenyia concisa",11.95,11.95
"Soricinae,"Soricinae informal gen. et sp. indet",8.225,8.225
"Mafia,"Mafia dehneli",4.550000000000001,4.550000000000001
"Neomys,"Neomys fodiens",0.00585,0.00585
"Limnoecus,"Limnoecus ? sp.",8.225,14.785
"Srinitium,"Srinitium n. sp. marteli",31.15,31.15
"Sorex,"Sorex casimiri",3.7,4.050000000000001
"Paenelimnoecus,"Paenelimnoecus repenningi",8.225,10.399999999999999
"Soricidae,"Soricidae informal indet. 2",1.6845,1.6845
"Crocidura,"Crocidura aithiops",2.197,3.0940000000000003
"Petenyiella,"Petenyiella gracilis",3.9605,4.550000000000001
"Episoriculus,"Episoriculus maghrebiensis",3.0940000000000003,3.0940000000000003
"cf.,"cf. Sorex sp.",0.06885,3.0940000000000003
"Nesiotites,"Nesiotites informal sp. 2",0.06885,0.39635000000000004
"Cryptotis,"Cryptotis ? parva",2.6,2.6
"n.,"n. gen. Alloblarinella n. sp. sinica",8.470500000000001,8.470500000000001
"Deinsdorfia,"Deinsdorfia cf. hibbardi",4.550000000000001,4.550000000000001
"informal,"informal Crocidura kormosi",3.9605,3.9605
"Sorex,"Sorex cinerus",0.06885,0.06885
"Sorex,"Sorex savini",0.4535,0.4535
"Limnoecus,"Limnoecus compressus",18.2,18.2
"Sorex,"Sorex n. sp. meltoni",3.35,3.35
"Soriculus,"Soriculus leucopus",0.06885,0.06885
"Cryptotis,"Cryptotis cf. parva",1.05,1.05
"Paenepetenyia,"Paenepetenyia zhudingi",4.4665,4.4665
"Pseudotrimylus,"Pseudotrimylus mawbyi",14.1815,14.785
"Sorex,"Sorex fumeus",0.063,1.29985
"Sorex,"Sorex n. sp. minutoides",8.470500000000001,8.470500000000001
"Antesorex,"Antesorex compressus",18.2,18.2
"Sorex,"Sorex cf. savini",1.357,1.357
"Sorex,"Sorex hoyi",0.06885,0.4535
"Beremendia,"Beremendia sp.",1.6845,3.9605
"Miosorex,"Miosorex grivensis",11.925,13.2
"Siwalikosorex,"Siwalikosorex parasadi",8.470500000000001,8.470500000000001
"Anourosorex,"Anourosorex oblongus",7.0165,7.0165
"Blarina,"Blarina brevicuda",0.06885,0.06885
"Paracryptotis,"Paracryptotis sp.",3.35,7.6000000000000005
"Paenesorex,"Paenesorex bicuspis",11.925,11.925
"Limnoecus,"Limnoecus tricuspis",11.95,14.785
"Crocidura,"Crocidura cf. kornfeldi",1.6845,2.894
"Sorex,"Sorex mirabilis",3.9605,3.9605
"Drepanosorex,"Drepanosorex savini",0.4535,0.4535
"Sorex,"Sorex (Microsorex) hoyi",0.06885,0.06885
"Beremendia,"Beremendia cf. fissidens",1.357,3.9605
