Species	Status	min_age	max_age
Blarina_carolinensis	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Sorex	extinct	0.126	0.781
Sorex_hoyi	extinct	0.126	0.781
Sorex_arcticus	extinct	0.126	0.781
Cryptotis_parva	extant	1.8	4.9
Blarina_carolinensis	extinct	1.8	4.9
Cryptotis_parva	extant	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Cryptotis_parva	extant	0.3	1.8
Sorex	extinct	0.3	1.8
Blarina	extinct	0.3	1.8
Soricidae	extinct	0.012	0.3
Blarina_carolinensis	extinct	0.3	1.8
Soricidae	extinct	0.3	1.8
Sorex_dispar	extinct	0.3	1.8
Blarina	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Cryptotis_parva	extant	0.3	1.8
Sorex_scottensis	extinct	0.3	1.8
Sorex_arcticus	extinct	0.3	1.8
Sorex_palustris	extinct	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Cryptotis_parva	extant	0.3	1.8
Sorex_scottensis	extinct	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Sorex	extinct	0.3	4.9
Blarina_carolinensis	extinct	0.012	0.3
Notiosorex_crawfordi	extant	0.3	1.8
Notiosorex_crawfordi	extant	0.3	1.8
Sorex	extinct	0.3	1.8
Cryptotis_parva	extant	0.3	1.8
Sorex	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Soricidae	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Cryptotis_parva	extant	0.012	0.3
Blarina_carolinensis	extinct	0.012	0.3
Sorex_cinereus	extinct	0.012	1.8
Blarina_brevicauda	extinct	0.012	1.8
Sorex	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Soricidae	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Sorex	extinct	0.3	1.8
Sorex_arcticus	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Cryptotis_parva	extant	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Blarina_carolinensis	extinct	0.3	1.8
Sorex_kansasensis	extinct	0.3	1.8
Blarina_brevicauda	extinct	0.3	1.8
Sorex_cinereus	extinct	0.3	1.8
Blarina_carolinensis	extinct	0.0117	0.126
Cryptotis_parva	extant	0.0117	0.126
Blarina_carolinensis	extinct	0.0117	0.126
Blarina_carolinensis	extinct	0.0117	0.126
Cryptotis_parva	extant	0.0117	0.126
Sorex_longirostris	extinct	0.0117	0.126
Blarina_carolinensis	extinct	0.0117	0.126
Cryptotis_parva	extant	0.0117	0.126
Blarina_brevicauda	extinct	0.0117	0.126
Blarina_carolinensis	extinct	0.0117	0.126
Sorex_cinereus	extinct	0.0117	0.126
Blarina_brevicauda	extinct	0.0117	0.126
Blarina	extinct	0.0117	0.126
Notiosorex_crawfordi	extant	0.0117	0.126
Soricidae	extinct	0.0117	0.126
Cryptotis_parva	extant	0.0117	0.126
Sorex_palustris	extinct	0.0117	0.126
Cryptotis_parva	extant	0.0117	0.126
Blarina_carolinensis	extinct	0.0117	0.126
Sylvisorex	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Myosorex	extinct	0	0.0117
Suncus	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Myosorex	extinct	0	0.0117
Suncus	extinct	0.0117	2.588
Crocidura	extinct	0.0117	2.588
Crocidura	extinct	0.0117	2.588
Crocidura	extinct	0.0117	2.588
Crocidura	extinct	0	2.588
Suncus	extinct	0	2.588
Crocidura	extinct	0	2.588
Crocidura	extinct	0	2.588
Crocidura	extinct	0	2.588
Suncus	extinct	0	2.588
Crocidura	extinct	0.781	1.806
Soricidae	extinct	3.6	5.333
Soricidae	extinct	3.6	5.333
Suncus	extinct	2.588	23.03
Soricidae	extinct	0.0117	2.588
Soricidae	extinct	3.6	5.333
Suncus	extinct	0.781	2.588
Soricidae	extinct	0.781	2.588
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Crocidura	extinct	0	0.0117
Myosorex	extinct	0.0117	5.333
Suncus	extinct	0.0117	5.333
Soricidae	extinct	0.0117	5.333
Suncus	extinct	2.588	5.333
Diplomesodon	extinct	2.588	5.333
Myosorex	extinct	2.588	5.333
Suncus	extinct	2.588	5.333
Suncus	extinct	2.588	5.333
Diplomesodon	extinct	2.588	5.333
Suncus	extinct	2.588	5.333
Myosorex	extinct	2.588	5.333
Crocidura	extinct	0.781	5.333
Crocidura	extinct	0.781	5.333
Crocidura	extinct	3.6	5.333
Crocidura	extinct	1.806	2.588
Crocidura	extinct	2.588	3.6
Crocidura	extinct	2.588	3.6
Myosorex	extinct	2.588	3.6
Suncus	extinct	2.588	3.6
Suncus	extinct	2.588	3.6
Suncus	extinct	2.588	3.6
Crocidura	extinct	1.806	2.588
Soricidae	extinct	2.588	5.333
Crocidura	extinct	0	0.0117
Scutisorex	extinct	0	0.0117
Scutisorex	extinct	0	2.588
Diplomesodon	extinct	2.588	5.333
Soricidae	extinct	5.333	23.03
Sylvisorex	extinct	1.806	2.588
Soricidae	extinct	1.806	2.588
Myosorex	extinct	0.781	2.588
Sylvisorex	extinct	0.781	2.588
Suncus	extinct	0.781	2.588
Arctisorex_polaris	extinct	3.6	5.333
Soricidae	extinct	13.6	15.97
Notiosorex	extinct	1.8	4.9
Crocidurinae	extinct	3.2	5.333
Miosorex	extinct	12.75	15.97
Soricidae	extinct	12.75	15.97
Crusafontina	extinct	9.7	11.1
Florinia_stehlini	extinct	15.97	16.9
Amblycoptus	extinct	8.7	9.7
Suncus	extinct	2.588	3.6
Episoriculus	extinct	2.588	3.6
Asoriculus	extinct	3.2	5.333
Episoriculus_gibberodon	extinct	3.2	5.333
Sorex_minutus	extinct	0.781	2.588
Sorex_margaritodon	extinct	0.781	2.588
Petenyia_hungarica	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Crocidura	extinct	0.781	2.588
Sorex	extinct	11.62	15.97
Sorex_margaritodon	extinct	0.781	2.588
Episoriculus_gibberodon	extinct	0.781	2.588
Petenyia_hungarica	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Crocidura	extinct	0.781	2.588
Sorex_praearaneus	extinct	0.781	2.588
Petenyia_hungarica	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Crocidura	extinct	0.781	2.588
Crocidura	extinct	0.781	2.588
Sorex_minutus	extinct	0.781	2.588
Sorex_praearaneus	extinct	0.781	2.588
Sorex_margaritodon	extinct	0.781	2.588
Episoriculus_gibberodon	extinct	0.781	2.588
Petenyia_hungarica	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Crocidura	extinct	0.781	2.588
Soricidae	extinct	2.588	5.333
Soricidae	extinct	5.333	8.7
Amblycoptus	extinct	5.333	8.7
Soricidae	extinct	5.333	8.7
Soricidae	extinct	5.333	8.7
Amblycoptus_jessiae	extinct	5.333	8.7
Petenyia_hungarica	extinct	5.333	8.7
Asoriculus	extinct	5.333	8.7
Sorex	extinct	5.333	8.7
Neomysorex	extinct	4.2	4.9
Mafia	extinct	4.2	4.9
Sorex	extinct	4.2	4.9
Sorex_minutus	extinct	4.2	4.9
Petenyia_hungarica	extinct	4.2	4.9
Soriculus_kubinyi	extinct	4.2	4.9
Suncus	extinct	4.2	4.9
Sorex_bor	extinct	1.806	2.588
Sorex	extinct	1.806	2.588
Beremendia	extinct	1.806	2.588
Petenyia_hungarica	extinct	1.806	2.588
Beremendia	extinct	3.2	4.2
Sorex_minutus	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Sorex_minutus	extinct	0.781	2.588
Sorex_margaritodon	extinct	0.781	2.588
Petenyia_hungarica	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Crocidura	extinct	0.781	2.588
Sorex_margaritodon	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Paranourosorex_gigas	extinct	4.2	4.9
Blarinoides_mariae	extinct	4.2	4.9
Beremendia	extinct	2.588	3.2
Beremendia	extinct	3.2	4.9
Kordosia_topali	extinct	3.2	4.2
Sorex_runtonensis	extinct	0.781	2.588
Sorex_minutus	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Crocidura	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Sorex_runtonensis	extinct	0.781	2.588
Sorex_minutus	extinct	0.781	2.588
Sorex_margaritodon	extinct	0.781	2.588
Beremendia	extinct	0.781	2.588
Crocidura	extinct	0.781	2.588
Sorex_minutus	extinct	0.126	0.781
Beremendia	extinct	0.126	0.781
Crocidura	extinct	0.781	2.588
Crocidura	extinct	0.126	0.781
Crocidura	extinct	2.588	5.333
Sorex_minutus	extinct	4.2	4.9
Petenyiella	extinct	4.2	4.9
Sorex	extinct	0.0117	2.588
Crocidura	extinct	0.0117	2.588
Neomys	extinct	0.0117	2.588
Crocidura	extinct	0.0117	2.588
Beremendia	extinct	3.2	4.2
Blarinoides_mariae	extinct	3.2	4.2
Blarinoides_mariae	extinct	3.2	4.2
Episoriculus_gibberodon	extinct	3.2	4.2
Beremendia	extinct	2.588	3.2
Blarinoides_mariae	extinct	2.588	3.2
Beremendia	extinct	2.588	3.2
Blarinoides_mariae	extinct	2.588	3.2
Beremendia	extinct	1.806	2.588
Blarinoides_mariae	extinct	1.806	2.588
Beremendia	extinct	0.781	2.588
Blarinoides_mariae	extinct	0.781	2.588
Beremendia	extinct	0.0117	2.588
Beremendia	extinct	0.0117	2.588
Angustidens_excultus	extinct	9.7	11.1
Crocidura	extinct	0.781	2.588
Crocidura	extinct	0.126	0.781
Crocidura	extinct	0.126	0.781
Sorex	extinct	0.126	0.781
Crocidura	extinct	0.126	0.781
Asoriculus	extinct	3.2	5.333
Mafia	extinct	3.2	5.333
Soricidae	extinct	3.2	5.333
Sorex	extinct	0.126	0.781
Episoriculus	extinct	4.2	4.9
Petenyia_hungarica	extinct	3.2	4.2
Crocidura	extinct	0.0117	23.03
Blarinini	extinct	0.0117	23.03
Blarinella	extinct	0.0117	23.03
Episoriculus_gibberodon	extinct	0.0117	23.03
Cokia_robusta	extinct	4.2	4.9
Blarinella	extinct	4.2	4.9
Alloblarinella_europaea	extinct	4.2	4.9
Cokia_robusta	extinct	3.2	4.2
Petenyia_hungarica	extinct	3.2	4.2
Alloblarinella_europaea	extinct	3.2	4.2
Sorex_hibbardi	extinct	3.2	4.2
Petenyia_hungarica	extinct	2.588	3.2
Alloblarinella_europaea	extinct	2.588	3.2
Petenyia_hungarica	extinct	2.588	3.2
Petenyia_hungarica	extinct	0.0117	2.588
Petenyia_hungarica	extinct	0.781	2.588
Blarinella	extinct	3.2	4.9
