"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Ursidae"
"Access Time","Wed 2017-02-22 07:50:18 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Ursidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0316"
"Records Found","772"
"Records Returned","772"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"188185","occ","6582","","18597","Phoberocyon johnhenryi","species","50353","","Phoberocyon johnhenryi","species","43767","Hemingfordian","","20.43","15.97","6294"
"188217","occ","","","18601","Indarctos sp.","genus","41315","","Indarctos","genus","41315","Hemphillian","","10.3","4.9","1051"
"188778","occ","","","18727","Ursidae ? indet.","family","41301","","Ursidae","family","41301","Miocene","","23.03","5.333","1483"
"188795","occ","","","18734","Agriotherium cf. schneideri","species","43836","","Agriotherium schneideri","species","43836","Late Hemphillian","","10.3","4.9","2245"
"188814","occ","","","18737","Agriotherium schneideri","species","43836","","Agriotherium schneideri","species","43836","Late Hemphillian","","10.3","4.9","2596"
"188849","occ","","","18740","Agriotherium cf. schneideri","species","43836","","Agriotherium schneideri","species","43836","Late Hemphillian","","10.3","4.9","1176"
"188871","occ","","","18745","Agriotherium schneideri ?","species","43836","","Agriotherium schneideri","species","43836","Hemphillian","","10.3","4.9","2596"
"188881","occ","","","18746","Agriotherium sp.","genus","41303","","Agriotherium","genus","41303","Hemphillian","","10.3","4.9","1482"
"188929","occ","","","18755","Agriotherium cf. schneideri","species","43836","","Agriotherium schneideri","species","43836","Late Hemphillian","","10.3","4.9","2245"
"189149","occ","6952","","18797","Ursavus cf. primaevus","species","52600","","Ursavus primaevus","species","52600","Barstovian","","15.97","13.6","6294"
"189231","occ","","","18806","Ursidae indet.","family","41301","","Ursidae","family","41301","Hemphillian","","10.3","4.9","3118"
